column_name,data_type,non_null,null_count,null_pct
military_id,character,3589,0,0
rank,character,3589,0,0
rank_code,character,3589,0,0
military_category,character,3589,0,0
years_of_service,numeric,3589,0,0
military_annual_salary,numeric,3589,0,0
civilian_equivalent,character,3589,0,0
skill_id,character,3589,0,0
branch,character,3589,0,0
code,character,3589,0,0
occupation_name,character,3589,0,0
civilian_category,character,3589,0,0
skill_level,character,3589,0,0
occupation_category,character,3589,0,0
salary_before_inflation,numeric,3589,0,0
salary_2025,numeric,3589,0,0
count,integer,3589,0,0
inflation_factor_applied,numeric,3589,0,0
salary_year,numeric,3589,0,0
predicted_civilian_salary,numeric,3589,0,0
salary_comparison,numeric,3589,0,0
